
2024/08/22 (22:19:57) | INFO: Running on /dev/pts/2
2024/08/22 (22:19:57) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (22:19:59) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (22:19:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/22 (22:29:36) | INFO: Quitting! Runtime: 00:09:39

2024/08/22 (22:39:07) | ===> btop++ v.1.3.0
2024/08/22 (22:39:07) | INFO: Logger set to INFO
2024/08/22 (22:39:07) | INFO: Running on /dev/pts/2
2024/08/22 (22:39:07) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (22:39:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (22:39:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/22 (22:40:52) | INFO: Quitting! Runtime: 00:01:45

2024/08/22 (22:41:33) | ===> btop++ v.1.3.0
2024/08/22 (22:41:33) | INFO: Logger set to INFO
2024/08/22 (22:41:33) | INFO: Running on /dev/pts/1
2024/08/22 (22:41:33) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (22:41:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (22:41:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/22 (22:42:01) | INFO: Quitting! Runtime: 00:00:28

2024/08/22 (22:42:21) | ===> btop++ v.1.3.0
2024/08/22 (22:42:21) | INFO: Logger set to INFO
2024/08/22 (22:42:21) | INFO: Running on /dev/pts/1
2024/08/22 (22:42:21) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (22:42:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (22:42:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/22 (22:42:28) | INFO: Quitting! Runtime: 00:00:07

2024/08/22 (22:43:03) | ===> btop++ v.1.3.0
2024/08/22 (22:43:03) | INFO: Logger set to INFO
2024/08/22 (22:43:03) | INFO: Running on /dev/pts/2
2024/08/22 (22:43:03) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (22:43:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (22:43:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/08/22 (22:43:26) | INFO: Quitting! Runtime: 00:00:23

2024/08/22 (23:11:35) | ===> btop++ v.1.3.0
2024/08/22 (23:11:35) | INFO: Logger set to INFO
2024/08/22 (23:11:35) | INFO: Running on /dev/pts/2
2024/08/22 (23:11:35) | INFO: Forcing tty mode: setting 16 color mode and using tty friendly graph symbols
2024/08/22 (23:11:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/08/22 (23:11:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/08/23 (00:16:32) | ===> btop++ v.1.3.0
2024/08/23 (00:16:32) | INFO: Logger set to INFO
2024/08/23 (00:16:32) | INFO: Running on /dev/pts/0
